region,country,disease,prob,unknown1,unknown2,disease2,diseasename
afr,ago,tb_tot_newrel,0.00768493099201458,133116,17321691,TB_tot_newrel,Tuberculosis
afr,ago,whs3_40,0.0047208660058194,3829,811080,WHS3_40,Colera
afr,ago,whs3_41,0,0,9924,WHS3_41,Diphtheria
afr,ago,whs3_42,0,0,23404,WHS3_42,Japanese encephalitis
afr,ago,whs3_43,0.0131314478050106,5220,397519,WHS3_43,Pertussis
afr,ago,whs3_45,0.0036136685831581,2521,697629,WHS3_45,Leprosy
afr,ago,whs3_46,0.0605177438710783,2118,34998,WHS3_46,Total tetanus
afr,ago,whs3_48,0.0745251110302157,4888574,65596333,WHS3_48,Malaria
afr,ago,whs3_49,0.0221822541966427,37,1668,WHS3_49,Poliomyelitis
afr,ago,whs3_50,0,0,3464,WHS3_50,Yellow fever
afr,ago,whs3_53,0,0,1879019,WHS3_53,Mumps
afr,ago,whs3_56,0.0111175281547791,154,13852,WHS3_56,Neonatal tetanus
afr,ago,whs3_57,0.000230878750176366,72,311852,WHS3_57,Rubella
afr,ago,whs3_62,0.00602138553783931,5446,904443,WHS3_62,Measles
afr,bdi,tb_tot_newrel,0.00124872334923882,21630,17321691,TB_tot_newrel,Tuberculosis
afr,bdi,whs3_40,0.00175938255165952,1427,811080,WHS3_40,Colera
afr,bdi,whs3_41,0,0,9924,WHS3_41,Diphtheria
afr,bdi,whs3_42,0,0,23404,WHS3_42,Japanese encephalitis
afr,bdi,whs3_43,0,0,397519,WHS3_43,Pertussis
afr,bdi,whs3_45,0.00182188527139783,1271,697629,WHS3_45,Leprosy
afr,bdi,whs3_46,0.000428595919766844,15,34998,WHS3_46,Total tetanus
afr,bdi,whs3_48,0.0689206666476311,4520943,65596333,WHS3_48,Malaria
afr,bdi,whs3_49,0,0,1668,WHS3_49,Poliomyelitis
afr,bdi,whs3_50,0,0,3464,WHS3_50,Yellow fever
afr,bdi,whs3_53,0,0,1879019,WHS3_53,Mumps
afr,bdi,whs3_55,0,0,410,WHS3_55,Congenital Rubella Syndrome
afr,bdi,whs3_56,0.00108287611897199,15,13852,WHS3_56,Neonatal tetanus
afr,bdi,whs3_57,0.00198491592165514,619,311852,WHS3_57,Rubella
afr,bdi,whs3_62,0.00102715151756385,929,904443,WHS3_62,Measles
afr,ben,tb_tot_newrel,0.00068388242233394,11846,17321691,TB_tot_newrel,Tuberculosis
afr,ben,whs3_40,0.00102209399812596,829,811080,WHS3_40,Colera
afr,ben,whs3_43,0.00013332696047233,53,397519,WHS3_43,Pertussis
afr,ben,whs3_45,0.00103350061422332,721,697629,WHS3_45,Leprosy
afr,ben,whs3_46,0.00262872164123664,92,34998,WHS3_46,Total tetanus
afr,ben,whs3_47,0.0128479786976519,2123,165240,WHS3_47,Meningitis
afr,ben,whs3_48,0.0200097313366587,1312565,65596333,WHS3_48,Malaria
afr,ben,whs3_49,0,0,1668,WHS3_49,Poliomyelitis
afr,ben,whs3_50,0,0,3464,WHS3_50,Yellow fever
afr,ben,whs3_56,0.000938492636442391,13,13852,WHS3_56,Neonatal tetanus
afr,ben,whs3_57,0.000115439375088183,36,311852,WHS3_57,Rubella
afr,ben,whs3_62,0.00251978289400216,2279,904443,WHS3_62,Measles
afr,bfa,tb_tot_newrel,0.000854535506954835,14802,17321691,TB_tot_newrel,Tuberculosis
afr,bfa,whs3_40,2.46584800512896e-05,20,811080,WHS3_40,Colera
afr,bfa,whs3_41,0,0,9924,WHS3_41,Diphtheria
afr,bfa,whs3_43,0.000218857463416843,87,397519,WHS3_43,Pertussis
afr,bfa,whs3_45,0.00104926830736681,732,697629,WHS3_45,Leprosy
afr,bfa,whs3_46,0.00240013715069433,84,34998,WHS3_46,Total tetanus
afr,bfa,whs3_47,0.131893004115226,21794,165240,WHS3_47,Meningitis
afr,bfa,whs3_48,0.0215740565863644,1415179,65596333,WHS3_48,Malaria
afr,bfa,whs3_49,0,0,1668,WHS3_49,Poliomyelitis
afr,bfa,whs3_50,0.297921478060046,1032,3464,WHS3_50,Yellow fever
afr,bfa,whs3_53,0,0,1879019,WHS3_53,Mumps
afr,bfa,whs3_55,0,0,410,WHS3_55,Congenital Rubella Syndrome
afr,bfa,whs3_56,0.000721917412647993,10,13852,WHS3_56,Neonatal tetanus
afr,bfa,whs3_62,0.0635628779259721,57489,904443,WHS3_62,Measles
afr,bwa,tb_tot_newrel,0.00126881376650813,21978,17321691,TB_tot_newrel,Tuberculosis
afr,bwa,whs3_40,1.84938600384672e-05,15,811080,WHS3_40,Colera
afr,bwa,whs3_41,0,0,9924,WHS3_41,Diphtheria
afr,bwa,whs3_43,0,0,397519,WHS3_43,Pertussis
afr,bwa,whs3_45,5.73370659763284e-06,4,697629,WHS3_45,Leprosy
afr,bwa,whs3_46,0,0,34998,WHS3_46,Total tetanus
