"COUNTRY","REGION","GHO","probability","gho_country_count","disease_on_world_count","code","name"
"1","AGO","AFR","TB_tot_newrel",0.037718227462871,133116,17321691,"TB_tot_newrel","Tuberculosis"
"2","AGO","AFR","WHS3_40",0.0231703704319865,3829,811080,"WHS3_40","Colera"
"3","AGO","AFR","WHS3_41",0,0,9924,"WHS3_41","Diphtheria"
"4","AGO","AFR","WHS3_42",0,0,23404,"WHS3_42","Japanese encephalitis"
"5","AGO","AFR","WHS3_43",0.0644501474041691,5220,397519,"WHS3_43","Pertussis"
"6","AGO","AFR","WHS3_45",0.0177361610321054,2521,697629,"WHS3_45","Leprosy"
"7","AGO","AFR","WHS3_46",0.297025702799541,2118,34998,"WHS3_46","Total tetanus"
"8","AGO","AFR","WHS3_48",0.365774929202911,4888574,65596333,"WHS3_48","Malaria"
"9","AGO","AFR","WHS3_49",0.108872195508012,37,1668,"WHS3_49","Poliomyelitis"
"10","AGO","AFR","WHS3_50",0,0,3464,"WHS3_50","Yellow fever"
"11","AGO","AFR","WHS3_53",0,0,1879019,"WHS3_53","Mumps"
"12","AGO","AFR","WHS3_56",0.0545656761527931,154,13852,"WHS3_56","Neonatal tetanus"
"13","AGO","AFR","WHS3_57",0.00113317051572023,72,311852,"WHS3_57","Rubella"
"14","AGO","AFR","WHS3_62",0.0295534194898902,5446,904443,"WHS3_62","Measles"
"15","BDI","AFR","TB_tot_newrel",0.0159531926528305,21630,17321691,"TB_tot_newrel","Tuberculosis"
"16","BDI","AFR","WHS3_40",0.0224771714357402,1427,811080,"WHS3_40","Colera"
"17","BDI","AFR","WHS3_41",0,0,9924,"WHS3_41","Diphtheria"
"18","BDI","AFR","WHS3_42",0,0,23404,"WHS3_42","Japanese encephalitis"
"19","BDI","AFR","WHS3_43",0,0,397519,"WHS3_43","Pertussis"
"20","BDI","AFR","WHS3_45",0.0232756813137841,1271,697629,"WHS3_45","Leprosy"
"21","BDI","AFR","WHS3_46",0.00547557093604873,15,34998,"WHS3_46","Total tetanus"
"22","BDI","AFR","WHS3_48",0.880503014107476,4520943,65596333,"WHS3_48","Malaria"
"23","BDI","AFR","WHS3_49",0,0,1668,"WHS3_49","Poliomyelitis"
"24","BDI","AFR","WHS3_50",0,0,3464,"WHS3_50","Yellow fever"
"25","BDI","AFR","WHS3_53",0,0,1879019,"WHS3_53","Mumps"
"26","BDI","AFR","WHS3_55",0,0,410,"WHS3_55","Congenital Rubella Syndrome"
"27","BDI","AFR","WHS3_56",0.0138343944282294,15,13852,"WHS3_56","Neonatal tetanus"
"28","BDI","AFR","WHS3_57",0.0253584960328782,619,311852,"WHS3_57","Rubella"
"29","BDI","AFR","WHS3_62",0.0131224790930127,929,904443,"WHS3_62","Measles"
"30","BEN","AFR","TB_tot_newrel",0.0163089506685349,11846,17321691,"TB_tot_newrel","Tuberculosis"
"31","BEN","AFR","WHS3_40",0.0243744831708838,829,811080,"WHS3_40","Colera"
"32","BEN","AFR","WHS3_43",0.00317952728439504,53,397519,"WHS3_43","Pertussis"
"33","BEN","AFR","WHS3_45",0.0246465035257746,721,697629,"WHS3_45","Leprosy"
"34","BEN","AFR","WHS3_46",0.0626886876576342,92,34998,"WHS3_46","Total tetanus"
"35","BEN","AFR","WHS3_47",0.306393385657273,2123,165240,"WHS3_47","Meningitis"
"36","BEN","AFR","WHS3_48",0.477183958240199,1312565,65596333,"WHS3_48","Malaria"
"37","BEN","AFR","WHS3_49",0,0,1668,"WHS3_49","Poliomyelitis"
"38","BEN","AFR","WHS3_50",0,0,3464,"WHS3_50","Yellow fever"
"39","BEN","AFR","WHS3_56",0.0223807918008579,13,13852,"WHS3_56","Neonatal tetanus"
"40","BEN","AFR","WHS3_57",0.0027529514022227,36,311852,"WHS3_57","Rubella"
"41","BEN","AFR","WHS3_62",0.0600907605922248,2279,904443,"WHS3_62","Measles"
"42","BFA","AFR","TB_tot_newrel",0.00164264005154011,14802,17321691,"TB_tot_newrel","Tuberculosis"
"43","BFA","AFR","WHS3_40",4.74000279832632e-05,20,811080,"WHS3_40","Colera"
"44","BFA","AFR","WHS3_41",0,0,9924,"WHS3_41","Diphtheria"
"45","BFA","AFR","WHS3_43",0.000420701108451403,87,397519,"WHS3_43","Pertussis"
"46","BFA","AFR","WHS3_45",0.00201696726755617,732,697629,"WHS3_45","Leprosy"
"47","BFA","AFR","WHS3_46",0.00461368940299427,84,34998,"WHS3_46","Total tetanus"
"48","BFA","AFR","WHS3_47",0.253532743009901,21794,165240,"WHS3_47","Meningitis"
"49","BFA","AFR","WHS3_48",0.041470961867039,1415179,65596333,"WHS3_48","Malaria"
"50","BFA","AFR","WHS3_49",0,0,1668,"WHS3_49","Poliomyelitis"
