Dataset,GHO,PUBLISHSTATE,YEAR,REGION,WORLDBANKINCOMEGROUP,COUNTRY,Display,Numeric,Low,High,Comments
CYCU,WHS3_55,PUBLISHED,2010,EUR,,CHE,0,0,,,
CYCU,TB_tot_newrel,PUBLISHED,2010,EUR,WB_HI,ITA,1693,1693,,,
CYCU,WHS3_57,PUBLISHED,2011,EMR,,IRN,20.00,20,,,
CYCU,TB_tot_newrel,PUBLISHED,2010,EUR,WB_LI,TJK,6297,6297,,,
CYCU,WHS3_45,PUBLISHED,2010,EMR,WB_HI,KWT,21,21,,,
CYCU,WHS3_57,PUBLISHED,2011,EUR,,MLT,1.00,1,,,
CYCU,WHS3_62,PUBLISHED,2011,EUR,,AZE,0.00,0,,,
CYCU,WHS3_62,PUBLISHED,2010,EUR,,MKD,217,217,,,
CYCU,WHS3_41,PUBLISHED,2010,AFR,,NAM,0,0,,,
CYCU,WHS3_55,PUBLISHED,2011,AFR,,DZA,0.00,0,,,
CYCU,WHS3_62,PUBLISHED,2011,SEAR,,BTN,10.00,10,,,
CYCU,WHS3_53,PUBLISHED,2011,EUR,,GBR,2716.00,2716,,,
CYCU,WHS3_55,PUBLISHED,2011,AFR,,LSO,0.00,0,,,
CYCU,WHS3_56,PUBLISHED,2010,EUR,,HUN,0,0,,,
CYCU,WHS3_53,PUBLISHED,2011,EUR,,RUS,406.00,406,,,
CYCU,WHS3_46,PUBLISHED,2010,EMR,,DJI,0,0,,,
CYCU,WHS3_50,PUBLISHED,2011,AFR,,SWZ,0.00,0,,,
CYCU,WHS3_55,PUBLISHED,2009,EUR,WB_HI,HUN,0,,,,
CYCU,WHS3_42,PUBLISHED,2009,WPR,WB_HI,JPN,3,,,,
CYCU,WHS3_43,PUBLISHED,2009,WPR,WB_HI,SGP,13,,,,
CYCU,WHS3_41,PUBLISHED,2009,AMR,WB_LI,HTI,37,,,,
CYCU,WHS3_55,PUBLISHED,2009,EUR,WB_HI,SWE,0,,,,
CYCU,WHS3_46,PUBLISHED,2009,EMR,WB_LMI,SYR,5,,,,
CYCU,WHS3_43,PUBLISHED,2011,EUR,,UZB,36.00,36,,,
CYCU,WHS3_53,PUBLISHED,2009,EMR,WB_HI,BHR,16,,,,
CYCU,WHS3_42,PUBLISHED,2009,WPR,WB_LI,VNM,68,,,,
CYCU,WHS3_42,PUBLISHED,2009,AFR,WB_UMI,MUS,0,,,,
CYCU,WHS3_56,PUBLISHED,2011,AFR,,GIN,17.00,17,,,
CYCU,WHS3_55,PUBLISHED,2010,AMR,,TTO,0,0,,,
CYCU,WHS3_41,PUBLISHED,2011,EUR,,MNE,0.00,0,,,
CYCU,WHS3_46,PUBLISHED,2011,WPR,,COK,0.00,0,,,
CYCU,WHS3_42,PUBLISHED,2011,WPR,,KHM,45.00,45,,,
CYCU,WHS3_49,PUBLISHED,2011,AMR,WB_LMI,BOL,0,0,,,
CYCU,WHS3_55,PUBLISHED,2010,AMR,,ATG,0,0,,,
CYCU,TB_tot_newrel,PUBLISHED,2011,EUR,WB_LI,KGZ,5529,5529,,,
CYCU,WHS3_46,PUBLISHED,2009,EMR,WB_HI,QAT,0,,,,
CYCU,TB_tot_newrel,PUBLISHED,2011,AFR,WB_LI,MOZ,44627,44627,,,
CYCU,WHS3_50,PUBLISHED,2010,AMR,,LCA,0,0,,,
CYCU,WHS3_53,PUBLISHED,2009,EUR,WB_UMI,BIH,474,,,,
CYCU,WHS3_46,PUBLISHED,2009,EMR,WB_LMI,DJI,0,,,,
CYCU,WHS3_48,PUBLISHED,2010,AMR,,SLV,24,,,,
CYCU,WHS3_43,PUBLISHED,2011,AMR,,VCT,0.00,0,,,
CYCU,WHS3_43,PUBLISHED,2010,AFR,,GMB,0,0,,,
CYCU,WHS3_43,PUBLISHED,2009,EUR,WB_HI,AND,0,,,,
CYCU,WHS3_49,PUBLISHED,2012,WPR,,NZL,0.00,0,,,
CYCU,WHS3_55,PUBLISHED,2009,AFR,WB_UMI,NAM,0,,,,
CYCU,WHS3_41,PUBLISHED,2010,WPR,,CHN,0,0,,,
CYCU,TB_tot_newrel,PUBLISHED,2010,EMR,WB_LI,SOM,10139,10139,,,
CYCU,WHS3_62,PUBLISHED,2010,EUR,,SRB,20,20,,,
CYCU,WHS3_43,PUBLISHED,2010,EMR,,LBN,19,19,,,
